Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method,Sales per Item,Store ID
4109,Flip-Flops,49.0,12/20/2022,4.0,Credit Card,51.0,3.0
4040,Shorts,49.0,8/25/2023,3.8,Cash,32.0,2.0
3984,Sweater,486.0,12/19/2022,5.0,Cash,213.0,9.0
4044,Jeans,477.0,5/19/2023,4.1,Cash,38.0,10.0
4075,Tunic,47.0,4/12/2023,1.2,Credit Card,33.0,2.0
4018,Handbag,462.0,2/5/2023,,Credit Card,161.0,10.0
4103,Romper,45.0,11/21/2022,,Credit Card,100.0,6.0
4067,Bowtie,44.0,11/21/2022,3.4,Cash,41.0,7.0
4035,Tunic,44.0,12/23/2022,1.2,Credit Card,110.0,6.0
3986,Gloves,430.0,4/5/2023,4.2,Cash,77.0,9.0
4010,Loafers,423.0,6/11/2023,,Credit Card,53.0,2.0
4099,Blazer,423.0,10/25/2022,2.7,Credit Card,47.0,2.0
3976,Slippers,409.0,6/18/2023,4.9,Credit Card,75.0,9.0
4002,Belt,250.0,5/26/2023,1.8,Cash,37.0,2.0
4109,Blouse,250.0,3/2/2023,,Credit Card,58.0,7.0
4068,Pajamas,250.0,12/9/2022,,Credit Card,116.0,6.0
3981,Boots,250.0,9/10/2023,2.8,Credit Card,59.0,8.0
4054,Swimsuit,250.0,2/28/2023,4.3,Cash,79.0,6.0
3972,Pants,250.0,5/6/2023,3.6,Cash,110.0,5.0
4060,Boots,250.0,1/26/2023,3.4,Credit Card,100.0,2.0
4040,Kimono,250.0,5/12/2023,,Credit Card,48.0,8.0
4097,Leggings,250.0,3/15/2023,3.2,Cash,122.0,9.0
3997,Wallet,250.0,11/27/2022,4.7,Cash,132.0,2.0
4001,Trench Coat,250.0,6/13/2023,2.2,Cash,84.0,9.0
4080,Onesie,250.0,12/11/2022,4.5,Credit Card,153.0,2.0
4070,Poncho,250.0,8/4/2023,4.9,Cash,111.0,7.0
4017,Gloves,250.0,7/17/2023,3.6,Credit Card,152.0,2.0
4122,Socks,250.0,2/22/2023,,Credit Card,33.0,1.0
4108,Jeans,24.0,2/11/2023,4.4,Credit Card,87.0,6.0
4110,Hoodie,24.0,10/11/2022,4.2,Credit Card,145.0,5.0
4083,Cardigan,24.0,4/9/2023,1.7,Cash,203.0,2.0
4055,Jacket,24.0,7/8/2023,1.3,Cash,67.0,10.0
4115,Tunic,24.0,7/11/2023,2.0,Credit Card,115.0,1.0
3973,Trousers,24.0,11/10/2022,4.6,Cash,70.0,1.0
3980,Pajamas,24.0,5/26/2023,2.2,Credit Card,57.0,5.0
4096,Poncho,24.0,4/10/2023,,Credit Card,52.0,6.0
4012,Scarf,24.0,5/29/2023,2.9,Credit Card,94.0,4.0
4108,Slippers,24.0,3/19/2023,4.8,Credit Card,56.0,4.0
4102,Trench Coat,24.0,1/29/2023,4.8,Cash,26.0,2.0
4044,Handbag,24.0,8/1/2023,1.2,Credit Card,40.0,10.0
4081,T-shirt,24.0,3/25/2023,,Cash,44.0,1.0
4019,Tank Top,24.0,3/23/2023,4.1,Cash,56.0,1.0
3974,Flip-Flops,24.0,4/16/2023,4.0,Cash,40.0,5.0
3063,Handbag,24.0,1/15/2023,4.3,Debit Card,128.0,6.0
3022,Handbag,24.0,2/17/2019,4.5,Online Payment,220.0,4.0
